id,name,type,sex,year,genre,thema,herkunft
rabenliebe,Rabenliebe,3,NA,2010,Autobiografie,DDR/Muttersuche,NA
ssk,Stadtschreiber von Klagenfurt,2,NA,NA,NA,NA,NA
sskb,Stipendium der Stiftung Kulturfonds Berlin,2,NA,NA,NA,NA,NA
ssm,Stadtschreiber von Magdeburg,2,NA,NA,NA,NA,NA
ssmh,Stadtschreiber von Mannheim,2,NA,NA,NA,NA,NA
ssn,Stipendium der Stiftung Niedersachsen ,2,NA,NA,NA,NA,NA
galiani,Galiani-Verlag Berlin,1,NA,NA,NA,NA,NA
juza,Judith Zander,4,1,NA,NA,NA,Brandenburg
dinge,"Dinge, die wir heute sagten",3,NA,2010,Heimatroman,Trauma/Provinz,NA
taschenbuch,Deutscher Taschenbuch Verlag,1,NA,NA,NA,NA,NA
ssr,Stadtschreiber von Ruhr,2,NA,NA,NA,NA,NA
licht,In Zeiten des abnehmenden Lichts,3,NA,2011,Familienroman,Sozialismus ,NA
euru,Eugen Ruge,4,2,NA,NA,NA,Ost-Berlin
jabr,Jan Brandt,4,2,NA,NA,NA,Berlin
gegenwelt,Gegen die Welt,3,NA,2011,Entwicklungsroman,Freundschaft/Verrat,NA
ssrb,Stadtschreiber von Rheinsberg,2,NA,NA,NA,NA,NA
sss,Stadtschreiber von Split,2,NA,NA,NA,NA,NA
sswb,Stadtschreiber von Weißenburg in Bayern,2,NA,NA,NA,NA,NA
stlp,Stahl-Literaturpreis,2,NA,NA,NA,NA,NA
stp,Solothurner Literaturpreis,2,NA,NA,NA,NA,NA
mibu,Michael Buselmaier,4,2,NA,NA,NA,Heidelberg
wunsiedel,Wunsiedel,3,NA,2011,Theaterroman,Provinz/Glück,NA
wunderhorn,Verlag das Wunderhorn,1,NA,NA,NA,NA,NA
sva,Stipendium der Villa Aurora in Los Angeles,2,NA,NA,NA,NA,NA
tjp,Thomas-Jorda-Preis,2,NA,NA,NA,NA,NA
tkp,Theodor-Körner-Preis,2,NA,NA,NA,NA,NA
maedchen,Das Maedchen,3,NA,2011,Entwicklungsroman,DDR/Pubertät,NA
sile,Sibylle Lewitscharoff,4,1,NA,NA,NA,Berlin
blumenberg,Blumenberg,3,NA,2011,Gesellschaftsroman,Philosophie/Phantasie,NA
mast,Marlene Streeruwitz,4,1,NA,NA,NA,Oesterreich
schmerzmacherin,Die Schmerzmacherin,3,NA,2011,Psychogramm,Wirklichkeit/Gewalt,NA
tmp,Thomas-Mann-Preis,2,NA,NA,NA,NA,NA
urkr,Ursula Krechel,4,1,NA,NA,NA,Berlin
landgericht,Landgericht,3,NA,2012,Gesellschaftsroman,Nachkriegszeit,NA
